market_id,market_name,crop_id,crop_name,n_samples,n_errors,n_direction_reversal,mean_confidence,mean_abs_next_return,error_rate,direction_reversal_rate
830,鳳山區,FJ3,番茄-牛番茄,223,119,81,0.4972841623683697,0.19201721999123897,0.5336322869955157,0.3632286995515695
800,高雄市,LP1,芫荽,224,108,81,0.45268112531158516,0.15747165992645712,0.48214285714285715,0.36160714285714285
950,花蓮市,FJ3,番茄-牛番茄,225,100,81,0.4780542047688893,0.16061079228463687,0.4444444444444444,0.36
105,台北市場,FR600,玫瑰-白,193,99,80,0.5035375096633563,0.213004147179457,0.5129533678756477,0.41450777202072536
105,台北市場,FR100,玫瑰-紅,196,100,80,0.5254755088668488,0.2209521764901938,0.5102040816326531,0.40816326530612246
105,台北市場,FH112,小天堂鳥-桔帶紅,199,90,80,0.5536436830150571,0.33117592273151436,0.45226130653266333,0.4020100502512563
514,彰化市場,FH251,秀線,205,99,80,0.5434070013567603,0.22464332201134135,0.48292682926829267,0.3902439024390244
700,台南市場,FE001,非洲菊-混合色,206,105,80,0.46477021348637854,0.1499854566819491,0.5097087378640777,0.3883495145631068
514,彰化市場,FR117,玫瑰-萬年紅,213,98,80,0.522041862476929,0.2532814141944399,0.460093896713615,0.3755868544600939
109,台北一,FH3,扁蒲-花蒲,214,112,80,0.4564544643084427,0.14536970188996215,0.5233644859813084,0.37383177570093457
105,台北市場,FU465,洋桔梗-名人華麗白,216,106,80,0.5163245408162952,0.17418903972328312,0.49074074074074076,0.37037037037037035
950,花蓮市,FD1,花胡瓜,226,114,80,0.4791438832223132,0.14203735570511633,0.504424778761062,0.35398230088495575
105,台北市場,FO340,文心蘭-愛琳娜,208,106,79,0.5302049175917178,0.24438332315876762,0.5096153846153846,0.3798076923076923
241,三重區,W2,洋香瓜-網狀綠肉,208,108,79,0.5122400619524942,0.2264477076999289,0.5192307692307693,0.3798076923076923
241,三重區,LA1,甘藍-初秋,213,102,79,0.4873305386296761,0.19647536122858722,0.4788732394366197,0.37089201877934275
220,板橋區,LP1,芫荽,214,103,79,0.4867720839966955,0.15943974927806634,0.48130841121495327,0.3691588785046729
241,三重區,LP1,芫荽,214,97,79,0.5177539760838803,0.22535549453218795,0.4532710280373832,0.3691588785046729
338,桃農,LD1,青江白菜-小梗,214,91,79,0.5114042852497769,0.23725972099984796,0.4252336448598131,0.3691588785046729
400,台中市,LK3,芥藍菜-芥藍芽,214,116,79,0.46169512661877127,0.10789958850012793,0.5420560747663551,0.3691588785046729
800,高雄市,LI5,萵苣菜-油麥菜,224,117,79,0.44214810995838183,0.12585212630645665,0.5223214285714286,0.35267857142857145
105,台北市場,FU441,洋桔梗-順風粉,198,95,78,0.5294644974870255,0.21825183842316323,0.4797979797979798,0.3939393939393939
800,高雄市場,FE600,非洲菊-白,212,97,78,0.534932777460367,0.17456224048776778,0.45754716981132076,0.36792452830188677
514,彰化市場,FO335,檸檬綠文心蘭,213,108,78,0.4926461588959943,0.16875384187828038,0.5070422535211268,0.36619718309859156
220,板橋區,FN5,敏豆-醜豆,214,115,78,0.5016998249049112,0.1374373668292427,0.5373831775700935,0.3644859813084112
220,板橋區,FY6,玉米-甜軟殼,214,114,78,0.4824020606854026,0.13181308757912333,0.5327102803738317,0.3644859813084112
220,板橋區,LK2,芥藍菜,214,101,78,0.521099139248639,0.20179390060137528,0.4719626168224299,0.3644859813084112
338,桃農,FY6,玉米-甜軟殼,214,101,78,0.5353236921945954,0.1915163478798578,0.4719626168224299,0.3644859813084112
400,台中市,FK41,甜椒-彩色種 紅色,214,116,78,0.4853868061370787,0.12500982739306055,0.5420560747663551,0.3644859813084112
400,台中市,LD1,青江白菜-小梗,214,107,78,0.475309335535689,0.15358748694677457,0.5,0.3644859813084112
105,台北市場,FS632,OT曼尼薩-雙朵,215,103,78,0.45447482890708785,0.1827066722232869,0.4790697674418605,0.3627906976744186
105,台北市場,FS633,OT曼尼薩-三朵,216,105,78,0.4753343684614684,0.14687510350332056,0.4861111111111111,0.3611111111111111
950,花蓮市,LC2,包心白-成功白,226,113,78,0.48980948012322084,0.18580756606136423,0.5,0.34513274336283184
900,屏東市,FG4,苦瓜-翠綠,199,95,77,0.582202099252789,0.2865278132341116,0.47738693467336685,0.3869346733668342
338,桃農,LC1,包心白-包白,206,93,77,0.5487810213366348,0.3121143345815,0.45145631067961167,0.3737864077669903
400,台中市場,FH293,向日葵-單瓣,207,97,77,0.5413607643681645,0.24212034962945447,0.46859903381642515,0.3719806763285024
109,台北一,LI72,萵苣菜-綠捲,209,86,77,0.6189898505663378,0.416753475072953,0.41148325358851673,0.3684210526315789
514,彰化市場,FE110,非洲菊-卡布,212,109,77,0.46534183051921957,0.161995170401428,0.5141509433962265,0.3632075471698113
109,台北一,LN1,油菜,214,95,77,0.4991912545032798,0.1689814417077396,0.4439252336448598,0.3598130841121495
338,桃農,LB2,小白菜-蚵仔白,214,101,77,0.5176535134062954,0.2377742348630214,0.4719626168224299,0.3598130841121495
105,台北市場,FE001,非洲菊-混合色,216,116,77,0.4463311367118878,0.150671862513557,0.5370370370370371,0.35648148148148145
105,台北市場,FR400,玫瑰-粉,216,98,77,0.5190016868832248,0.19475867435843494,0.4537037037037037,0.35648148148148145
800,高雄市,FY6,玉米-甜軟殼,224,101,77,0.4713353917800793,0.15704315166385757,0.45089285714285715,0.34375
950,花蓮市,LA7,甘藍-改良尖,226,116,77,0.4562314988501447,0.13536955525839528,0.5132743362831859,0.3407079646017699
420,豐原區,FY41,玉米-玉米筍 帶殼,227,126,77,0.4870193123756067,0.11596048195056696,0.5550660792951542,0.3392070484581498
420,豐原區,LD1,青江白菜-小梗,227,154,77,0.39129779559782585,0.11614603616299878,0.6784140969162996,0.3392070484581498
514,溪湖鎮,FD1,花胡瓜,264,119,77,0.4537897447935723,0.15536740969232732,0.45075757575757575,0.2916666666666667
700,台南市場,FE110,非洲菊-卡布,201,99,76,0.4576649542000145,0.1646410176761641,0.4925373134328358,0.3781094527363184
104,台北二,FY4,玉米-玉米筍,203,95,76,0.5811296778444507,0.29288398311848796,0.46798029556650245,0.37438423645320196
105,台北市場,FE400,非洲菊-粉,205,111,76,0.48837650482491146,0.1461038076746766,0.5414634146341464,0.37073170731707317
105,台北市場,FU642,洋桔梗-斐諾淺粉,213,100,76,0.5212446073244907,0.18077116496488121,0.4694835680751174,0.3568075117370892
109,台北一,FY4,玉米-玉米筍,213,96,76,0.5367819606299756,0.26651203499307863,0.4507042253521127,0.3568075117370892
514,彰化市場,FE001,非洲菊-混合色,213,116,76,0.44154705659608917,0.13024476307345864,0.5446009389671361,0.3568075117370892
104,台北二,FY6,玉米-甜軟殼,214,101,76,0.4951342650801279,0.16833242182147107,0.4719626168224299,0.35514018691588783
105,台北市場,FE409,非洲菊-粉紅魅力,214,99,76,0.4883860743210969,0.1615279831701019,0.46261682242990654,0.35514018691588783
105,台北市場,FY071,雪松,214,126,76,0.4566610364382592,0.14396371824026258,0.5887850467289719,0.35514018691588783
109,台北一,LD1,青江白菜-小梗,214,104,76,0.4913789640493377,0.15582553101320953,0.48598130841121495,0.35514018691588783
